 id  | can_transact | can_select | chance_of_playing_next_round | chance_of_playing_this_round |  code  | cost_change_event | cost_change_event_fall | cost_change_start | cost_change_start_fall | dreamteam_count | element_type | ep_next | ep_this | event_points |     first_name      | form | in_dreamteam |                                news                                 |          news_added           | now_cost |   photo    | points_per_game | removed |                 second_name                  | selected_by_percent | special | squad_number | status | team | team_code | total_points | transfers_in | transfers_in_event | transfers_out | transfers_out_event | value_form | value_season |     web_name     | region | team_join_date | birth_date | has_temporary_code | opta_code | minutes | goals_scored | assists | clean_sheets | goals_conceded | own_goals | penalties_saved | penalties_missed | yellow_cards | red_cards | saves | bonus | bps | influence | creativity | threat | ict_index | clearances_blocks_interceptions | recoveries | tackles | defensive_contribution | starts | expected_goals | expected_assists | expected_goal_involvements | expected_goals_conceded | influence_rank | influence_rank_type | creativity_rank | creativity_rank_type | threat_rank | threat_rank_type | ict_index_rank | ict_index_rank_type | corners_and_indirect_freekicks_order | corners_and_indirect_freekicks_text | direct_freekicks_order | direct_freekicks_text | penalties_order | penalties_text | expected_goals_per_90 | saves_per_90 | expected_assists_per_90 | expected_goal_involvements_per_90 | expected_goals_conceded_per_90 | goals_conceded_per_90 | now_cost_rank | now_cost_rank_type | form_rank | form_rank_type | points_per_game_rank | points_per_game_rank_type | selected_rank | selected_rank_type | starts_per_90 | clean_sheets_per_90 | defensive_contribution_per_90 
  10 | t            | t          |                              |                              | 499169 |                 0 |                      0 |                -4 |                      4 |               0 |            2 |     1.7 |     1.7 |            1 | Myles               |  0.7 | f            |                                                                     |                               |       51 | 499169.jpg |             0.9 | f       | Lewis-Skelly                                 |                 1.6 | f       |              | a      |    1 |         3 |            7 |        55278 |               1000 |        365671 |                4058 |        0.1 |          1.4 | Lewis-Skelly     |    241 | 2022-12-04     | 2006-09-26 | f                  | p499169   |      87 |            0 |       0 |            0 |              0 |         0 |               0 |                0 |            1 |         0 |     0 |     0 |  22 |        10 |        7.2 |      4 |         2 |                               4 |          7 |       1 |                      5 |      0 |              0 |                0 |                          0 |                    0.99 |            398 |                 147 |             368 |                  126 |         368 |              133 |            410 |                 143 |                                      |                                     |                        |                       |                 |                |                     0 |            0 |                       0 |                                 0 |                           1.02 |                     0 |           235 |                 36 |       285 |             95 |                  437 |                       146 |           142 |                 56 |             0 |                   0 |                          5.17
  11 | t            | t          |                          100 |                          100 | 198869 |                 0 |                      0 |                -2 |                      2 |               0 |            2 |       1 |       1 |            0 | Benjamin            |    0 | f            |                                                                     | 2025-09-18 00:00:07.77828-04  |       53 | 198869.jpg |               6 | f       | White                                        |                 0.4 | f       |              | a      |    1 |         3 |            6 |        33443 |                619 |         95051 |                1020 |          0 |          1.1 | White            |    241 | 2021-07-30     | 1997-10-08 | f                  | p198869   |      70 |            0 |       0 |            1 |              0 |         0 |               0 |                0 |            0 |         0 |     0 |     0 |  23 |      15.4 |       11.3 |      1 |       2.8 |                               6 |          4 |       2 |                      8 |      1 |           0.01 |             0.01 |                       0.02 |                    0.87 |            382 |                 140 |             344 |                  120 |         388 |              139 |            398 |                 139 |                                      |                                     |                        |                       |                 |                |                  0.01 |            0 |                    0.01 |                              0.02 |                           1.12 |                     0 |           194 |                 26 |       704 |            242 |                    6 |                         4 |           263 |                100 |          1.29 |                1.29 |                         10.29
  13 | t            | t          |                              |                              | 563324 |                 0 |                      0 |                -2 |                      2 |               0 |            2 |       1 |       1 |            0 | Brayden             |    0 | f            |                                                                     |                               |       38 | 563324.jpg |               0 | f       | Clarke                                       |                 0.6 | f       |              | a      |    1 |         3 |            0 |        31490 |               1213 |         53141 |                1325 |          0 |            0 | Clarke           |        |                |            | f                  | p563324   |       0 |            0 |       0 |            0 |              0 |         0 |               0 |                0 |            0 |         0 |     0 |     0 |   0 |         0 |          0 |      0 |         0 |                               0 |          0 |       0 |                      0 |      0 |              0 |                0 |                          0 |                       0 |            446 |                 160 |             431 |                  159 |         395 |              146 |            445 |                 159 |                                      |                                     |                        |                       |                 |                |                     0 |            0 |                       0 |                                 0 |                              0 |                     0 |           752 |                246 |       360 |            122 |                  451 |                       159 |           234 |                 86 |             0 |                   0 |                             0
  14 | t            | f          |                            0 |                            0 | 588793 |                 0 |                      0 |                -1 |                      1 |               0 |            2 |       0 |       0 |            0 | Maldini             |    0 | f            | has joined Morecambe on loan for the rest of the season.            | 2025-09-22 17:14:30.857843-04 |       39 | 588793.jpg |               0 | f       | Kacurri                                      |                 0.1 | f       |              | u      |    1 |         3 |            0 |        10218 |                  0 |         20304 |                 267 |          0 |            0 | Kacurri          |        |                |            | f                  | p588793   |       0 |            0 |       0 |            0 |              0 |         0 |               0 |                0 |            0 |         0 |     0 |     0 |   0 |         0 |          0 |      0 |         0 |                               0 |          0 |       0 |                      0 |      0 |              0 |                0 |                          0 |                       0 |            490 |                 185 |             475 |                  184 |         442 |              174 |            489 |                 184 |                                      |                                     |                        |                       |                 |                |                     0 |            0 |                       0 |                                 0 |                              0 |                     0 |           741 |                235 |       409 |            152 |                  494 |                       183 |           444 |                161 |             0 |                   0 |                             0
  15 | t            | t          |                              |                              | 499167 |                 0 |                      0 |                -1 |                      1 |               0 |            2 |       1 |       1 |            0 | Josh                |    0 | f            |                                                                     |                               |       39 | 499167.jpg |               0 | f       | Nichols                                      |                 0.2 | f       |              | a      |    1 |         3 |            0 |        13392 |                114 |         18987 |                 474 |          0 |            0 | Nichols          |    241 | 2024-07-24     | 2006-07-26 | f                  | p499167   |       0 |            0 |       0 |            0 |              0 |         0 |               0 |                0 |            0 |         0 |     0 |     0 |   0 |         0 |          0 |      0 |         0 |                               0 |          0 |       0 |                      0 |      0 |              0 |                0 |                          0 |                       0 |            476 |                 174 |             461 |                  173 |         428 |              163 |            475 |                 173 |                                      |                                     |                        |                       |                 |                |                     0 |            0 |                       0 |                                 0 |                              0 |                     0 |           725 |                222 |       393 |            139 |                  480 |                       172 |           372 |                134 |             0 |                   0 |                             0
  16 | t            | t          |                          100 |                          100 | 223340 |                 0 |                      0 |                 1 |                     -1 |               1 |            3 |     7.3 |     7.3 |            4 | Bukayo              |  6.3 | f            |                                                                     | 2025-08-23 18:30:05.759392-04 |      101 | 223340.jpg |             4.9 | f       | Saka                                         |                17.2 | f       |              | a      |    1 |         3 |           49 |      2453026 |              61422 |       2133735 |               80080 |        0.6 |          4.9 | Saka             |    241 | 2018-11-28     | 2001-09-05 | f                  | p223340   |     771 |            3 |       0 |            5 |              4 |         0 |               0 |                0 |            0 |         0 |     0 |     5 | 168 |     211.6 |      284.6 |    250 |      74.6 |                               7 |         49 |      15 |                     71 |      9 |           2.52 |             2.35 |                       4.87 |                     4.5 |             84 |                  30 |              16 |                   16 |          18 |               10 |             17 |                  13 |                                    1 |                                     |                      4 |                       |               1 |                |                  0.29 |            0 |                    0.27 |                              0.56 |                           0.53 |                  0.47 |             5 |                  3 |        31 |             14 |                   35 |                        15 |            21 |                  6 |          1.05 |                0.58 |                          8.29
  17 | t            | t          |                          100 |                           50 | 184029 |                 0 |                      0 |                -2 |                      2 |               0 |            3 |       1 |     0.5 |            0 | Martin              |    0 | f            |                                                                     | 2025-10-04 16:00:07.945438-04 |       78 | 184029.jpg |             2.2 | f       | Ødegaard                                     |                 1.3 | f       |              | a      |    1 |         3 |           13 |       134760 |               1317 |        416184 |                1464 |          0 |          1.7 | Ødegaard         |    161 | 2021-08-20     | 1998-12-17 | f                  | p184029   |     201 |            0 |       1 |            1 |              1 |         0 |               0 |                0 |            0 |         0 |     0 |     0 |  47 |        43 |         65 |     22 |        13 |                               6 |         10 |       3 |                     19 |      4 |           0.14 |             0.81 |                       0.95 |                    2.36 |            320 |                 149 |             186 |                  124 |         287 |              153 |            292 |                 144 |                                    3 |                                     |                      2 |                       |               3 |                |                  0.06 |            0 |                    0.36 |                              0.42 |                           1.06 |                  0.45 |            19 |                 13 |       751 |            333 |                  257 |                       118 |           161 |                 53 |          1.79 |                0.45 |                          8.51
  18 | t            | t          |                          100 |                           50 | 248857 |                 0 |                      0 |                -2 |                      2 |               0 |            3 |     1.3 |     0.7 |            1 | Noni                |  0.3 | f            |                                                                     | 2025-09-21 18:30:05.839272-04 |       68 | 248857.jpg |             1.8 | f       | Madueke                                      |                 0.6 | f       |              | a      |    1 |         3 |           11 |       151256 |               2197 |        227739 |                 621 |          0 |          1.6 | Madueke          |    241 | 2025-07-18     | 2002-03-10 | f                  | p248857   |     316 |            0 |       0 |            2 |              2 |         0 |               0 |                0 |            0 |         0 |     0 |     0 |  43 |      32.6 |      112.1 |    107 |      25.1 |                               2 |         11 |       3 |                     16 |      4 |           0.29 |             0.87 |                       1.16 |                    2.06 |            340 |                 157 |             107 |                   80 |          98 |               59 |            204 |                 104 |                                      |                                     |                        |                       |                 |                |                  0.08 |            0 |                    0.25 |                              0.33 |                           0.59 |                  0.57 |            43 |                 27 |       353 |            172 |                  306 |                       141 |           228 |                 80 |          1.14 |                0.57 |                          4.56
  19 | t            | t          |                          100 |                           50 | 444145 |                 0 |                      0 |                -2 |                      2 |               0 |            3 |       1 |     0.5 |            0 | Gabriel             |    0 | f            |                                                                     | 2025-10-28 17:00:08.076588-04 |       68 | 444145.jpg |               2 | f       | Martinelli Silva                             |                 0.8 | f       |              | a      |    1 |         3 |           16 |        93108 |               1628 |        179235 |                1913 |          0 |          2.4 | Martinelli       |     30 | 2019-07-15     | 2001-06-18 | f                  | p444145   |     214 |            1 |       0 |            1 |              0 |         0 |               0 |                0 |            0 |         0 |     0 |     1 |  56 |        51 |       30.6 |     93 |      17.5 |                               3 |         10 |       3 |                     16 |      2 |           0.75 |             0.08 |                       0.83 |                    1.97 |            301 |                 138 |             278 |                  163 |         112 |               69 |            264 |                 131 |                                      |                                     |                        |                       |                 |                |                  0.32 |            0 |                    0.03 |                              0.35 |                           0.83 |                     0 |            44 |                 28 |       745 |            331 |                  285 |                       129 |           195 |                 68 |          0.84 |                0.42 |                          6.73
  20 | t            | t          |                           75 |                          100 | 116216 |                 0 |                      0 |                -1 |                      1 |               1 |            3 |     7.5 |      10 |           12 | Leandro             |    9 | f            | Knock - 75% chance of playing                                       | 2025-11-27 05:00:06.58248-05  |       69 | 116216.jpg |             5.2 | f       | Trossard                                     |                 1.1 | f       |              | d      |    1 |         3 |           52 |       140479 |              33700 |         60156 |               14030 |        1.3 |          7.5 | Trossard         |     21 | 2023-01-20     | 1994-12-04 | f                  | p116216   |     719 |            3 |       3 |            4 |              5 |         0 |               0 |                0 |            0 |         0 |     0 |     6 | 176 |     205.2 |      182.8 |    203 |      59.1 |                               6 |         26 |       6 |                     38 |      8 |           2.14 |             1.23 |                       3.37 |                    3.67 |             95 |                  34 |              52 |                   39 |          35 |               19 |             38 |                  30 |                                      |                                     |                        |                       |               4 |                |                  0.27 |            0 |                    0.15 |                              0.42 |                           0.46 |                  0.63 |            37 |                 22 |         2 |              1 |                   24 |                         9 |           175 |                 62 |             1 |                 0.5 |                          4.76
  21 | t            | t          |                          100 |                          100 | 204480 |                 0 |                      0 |                 4 |                     -4 |               2 |            3 |       8 |       8 |            6 | Declan              |    7 | t            |                                                                     | 2025-10-04 16:00:07.968078-04 |       69 | 204480.jpg |             5.9 | f       | Rice                                         |                22.4 | f       |              | a      |    1 |         3 |           71 |      2499661 |             157275 |        782581 |               51726 |          1 |         10.3 | Rice             |    241 | 2023-07-15     | 1999-01-14 | f                  | p204480   |     983 |            2 |       5 |            6 |              6 |         0 |               0 |                0 |            1 |         0 |     0 |    10 | 281 |     310.4 |      358.8 |    116 |      78.6 |                              35 |         52 |      21 |                    108 |     11 |           1.44 |             2.76 |                        4.2 |                    5.52 |             17 |                   4 |               5 |                    5 |          81 |               47 |             15 |                  12 |                                    2 |                                     |                      1 |                       |                 |                |                  0.13 |            0 |                    0.25 |                              0.38 |                           0.51 |                  0.55 |            38 |                 23 |        18 |              9 |                    9 |                         3 |            16 |                  4 |          1.01 |                0.55 |                          9.89
  22 | t            | t          |                              |                              | 195384 |                 0 |                      0 |                -1 |                      1 |               0 |            3 |     4.7 |     4.7 |            5 | Mikel               |  3.7 | f            |                                                                     |                               |       59 | 195384.jpg |             2.5 | f       | Merino Zazón                                 |                 0.9 | f       |              | a      |    1 |         3 |           28 |       157055 |               7442 |        128590 |                7860 |        0.6 |          4.7 | Merino           |    200 | 2024-08-27     | 1996-06-22 | f                  | p195384   |     500 |            1 |       2 |            2 |              4 |         0 |               0 |                0 |            0 |         0 |     0 |     0 | 104 |     122.8 |       90.3 |     89 |      29.8 |                              11 |         30 |      12 |                     53 |      5 |           0.78 |             0.67 |                       1.45 |                    2.71 |            190 |                  79 |             139 |                   99 |         119 |               74 |            162 |                  86 |                                      |                                     |                        |                       |                 |                |                  0.14 |            0 |                    0.12 |                              0.26 |                           0.49 |                  0.72 |            97 |                 64 |       100 |             48 |                  219 |                        96 |           187 |                 66 |           0.9 |                0.36 |                          9.54
  23 | t            | f          |                            0 |                            0 | 438098 |                 0 |                      0 |                -1 |                      1 |               0 |            3 |       0 |       0 |            0 | Fábio               |    0 | f            | has joined Hamburger on loan for the rest of the season.            | 2025-09-02 09:38:06.128321-04 |       54 | 438098.jpg |               0 | f       | Ferreira Vieira                              |                   0 | f       |              | u      |    1 |         3 |            0 |          933 |                  0 |          4299 |                  14 |          0 |            0 | Fábio Vieira     |    173 | 2022-06-21     | 2000-05-30 | f                  | p438098   |       0 |            0 |       0 |            0 |              0 |         0 |               0 |                0 |            0 |         0 |     0 |     0 |   0 |         0 |          0 |      0 |         0 |                               0 |          0 |       0 |                      0 |      0 |              0 |                0 |                          0 |                       0 |            733 |                 321 |             732 |                  321 |         728 |              320 |            733 |                 321 |                                      |                                     |                        |                       |                 |                |                     0 |            0 |                       0 |                                 0 |                              0 |                     0 |           171 |                107 |       713 |            309 |                  733 |                       321 |           654 |                271 |             0 |                   0 |                             0
