 id  | can_transact | can_select | chance_of_playing_next_round | chance_of_playing_this_round |  code  | cost_change_event | cost_change_event_fall | cost_change_start | cost_change_start_fall | dreamteam_count | element_type | ep_next | ep_this | event_points |     first_name      | form | in_dreamteam |                                news                                 |          news_added           | now_cost |   photo    | points_per_game | removed |                 second_name                  | selected_by_percent | special | squad_number | status | team | team_code | total_points | transfers_in | transfers_in_event | transfers_out | transfers_out_event | value_form | value_season |     web_name     | region | team_join_date | birth_date | has_temporary_code | opta_code | minutes | goals_scored | assists | clean_sheets | goals_conceded | own_goals | penalties_saved | penalties_missed | yellow_cards | red_cards | saves | bonus | bps | influence | creativity | threat | ict_index | clearances_blocks_interceptions | recoveries | tackles | defensive_contribution | starts | expected_goals | expected_assists | expected_goal_involvements | expected_goals_conceded | influence_rank | influence_rank_type | creativity_rank | creativity_rank_type | threat_rank | threat_rank_type | ict_index_rank | ict_index_rank_type | corners_and_indirect_freekicks_order | corners_and_indirect_freekicks_text | direct_freekicks_order | direct_freekicks_text | penalties_order | penalties_text | expected_goals_per_90 | saves_per_90 | expected_assists_per_90 | expected_goal_involvements_per_90 | expected_goals_conceded_per_90 | goals_conceded_per_90 | now_cost_rank | now_cost_rank_type | form_rank | form_rank_type | points_per_game_rank | points_per_game_rank_type | selected_rank | selected_rank_type | starts_per_90 | clean_sheets_per_90 | defensive_contribution_per_90 
  10 | t            | t          |                              |                              | 499169 |                 0 |                      0 |                -4 |                      4 |               0 |            2 |     1.2 |     1.2 |            0 | Myles               |  0.2 | f            |                                                                     |                               |       51 | 499169.jpg |             0.8 | f       | Lewis-Skelly                                 |                 1.5 | f       |              | a      |    1 |         3 |            7 |        58356 |               1123 |        373343 |                3372 |          0 |          1.4 | Lewis-Skelly     |    241 | 2022-12-04     | 2006-09-26 | f                  | p499169   |     132 |            0 |       0 |            0 |              1 |         0 |               0 |                0 |            2 |         0 |     0 |     0 |  21 |      10.4 |        9.4 |      4 |       2.3 |                               6 |         10 |       2 |                      8 |      0 |              0 |             0.02 |                       0.02 |                    1.47 |            401 |                 146 |             371 |                  126 |         378 |              137 |            414 |                 145 |                                      |                                     |                        |                       |                 |                |                     0 |            0 |                    0.01 |                              0.01 |                              1 |                  0.68 |           238 |                 37 |       358 |            124 |                  447 |                       153 |           147 |                 59 |             0 |                   0 |                          5.45
  11 | t            | t          |                          100 |                          100 | 198869 |                 0 |                      0 |                -2 |                      2 |               1 |            2 |     4.5 |     4.5 |           14 | Benjamin            |  3.5 | f            |                                                                     | 2025-09-18 00:00:07.77828-04  |       53 | 198869.jpg |              10 | f       | White                                        |                 0.5 | f       |              | a      |    1 |         3 |           20 |        44245 |               9880 |         96936 |                 768 |        0.7 |          3.8 | White            |    241 | 2021-07-30     | 1997-10-08 | f                  | p198869   |     160 |            0 |       1 |            2 |              0 |         0 |               0 |                0 |            0 |         0 |     0 |     3 |  69 |      65.2 |       40.8 |      9 |      11.5 |                              13 |          8 |       8 |                     21 |      2 |           0.05 |             0.15 |                        0.2 |                    1.22 |            300 |                 111 |             269 |                   81 |         339 |              117 |            332 |                 110 |                                      |                                     |                        |                       |                 |                |                  0.03 |            0 |                    0.08 |                              0.11 |                           0.69 |                     0 |           191 |                 26 |        91 |             33 |                    1 |                         1 |           241 |                 89 |          1.12 |                1.12 |                         11.81
  13 | t            | t          |                              |                              | 563324 |                 0 |                      0 |                -2 |                      2 |               0 |            2 |       1 |       1 |            0 | Brayden             |    0 | f            |                                                                     |                               |       38 | 563324.jpg |               0 | f       | Clarke                                       |                 0.5 | f       |              | a      |    1 |         3 |            0 |        35181 |               1663 |         55999 |                1160 |          0 |            0 | Clarke           |        |                |            | f                  | p563324   |       0 |            0 |       0 |            0 |              0 |         0 |               0 |                0 |            0 |         0 |     0 |     0 |   0 |         0 |          0 |      0 |         0 |                               0 |          0 |       0 |                      0 |      0 |              0 |                0 |                          0 |                       0 |            457 |                 168 |             440 |                  166 |         407 |              153 |            456 |                 167 |                                      |                                     |                        |                       |                 |                |                     0 |            0 |                       0 |                                 0 |                              0 |                     0 |           754 |                245 |       381 |            137 |                  462 |                       167 |           240 |                 88 |             0 |                   0 |                             0
  14 | t            | f          |                            0 |                            0 | 588793 |                 0 |                      0 |                -1 |                      1 |               0 |            2 |       0 |       0 |            0 | Maldini             |    0 | f            | has joined Morecambe on loan for the rest of the season.            | 2025-09-22 17:14:30.857843-04 |       39 | 588793.jpg |               0 | f       | Kacurri                                      |                 0.1 | f       |              | u      |    1 |         3 |            0 |        10218 |                  0 |         20763 |                 177 |          0 |            0 | Kacurri          |        |                |            | f                  | p588793   |       0 |            0 |       0 |            0 |              0 |         0 |               0 |                0 |            0 |         0 |     0 |     0 |   0 |         0 |          0 |      0 |         0 |                               0 |          0 |       0 |                      0 |      0 |              0 |                0 |                          0 |                       0 |            500 |                 189 |             484 |                  188 |         453 |              177 |            500 |                 189 |                                      |                                     |                        |                       |                 |                |                     0 |            0 |                       0 |                                 0 |                              0 |                     0 |           739 |                230 |       430 |            164 |                  505 |                       188 |           447 |                161 |             0 |                   0 |                             0
  15 | t            | t          |                              |                              | 499167 |                 0 |                      0 |                -2 |                      2 |               0 |            2 |       1 |       1 |            0 | Josh                |    0 | f            |                                                                     |                               |       38 | 499167.jpg |               0 | f       | Nichols                                      |                 0.2 | f       |              | a      |    1 |         3 |            0 |        14193 |                396 |         19999 |                 409 |          0 |            0 | Nichols          |    241 | 2024-07-24     | 2006-07-26 | f                  | p499167   |       0 |            0 |       0 |            0 |              0 |         0 |               0 |                0 |            0 |         0 |     0 |     0 |   0 |         0 |          0 |      0 |         0 |                               0 |          0 |       0 |                      0 |      0 |              0 |                0 |                          0 |                       0 |            454 |                 165 |             437 |                  163 |         403 |              149 |            453 |                 164 |                                      |                                     |                        |                       |                 |                |                     0 |            0 |                       0 |                                 0 |                              0 |                     0 |           750 |                241 |       378 |            134 |                  459 |                       164 |           375 |                137 |             0 |                   0 |                             0
  16 | t            | t          |                          100 |                          100 | 223340 |                 0 |                      0 |                 1 |                     -1 |               1 |            3 |     7.8 |     7.8 |            6 | Bukayo              |  6.8 | f            |                                                                     | 2025-08-23 18:30:05.759392-04 |      101 | 223340.jpg |               5 | f       | Saka                                         |                18.1 | f       |              | a      |    1 |         3 |           60 |      2654536 |              80340 |       2298010 |               65491 |        0.7 |          5.9 | Saka             |    241 | 2018-11-28     | 2001-09-05 | f                  | p223340   |     890 |            4 |       1 |            5 |              5 |         0 |               0 |                0 |            0 |         0 |     0 |     5 | 211 |     271.6 |        303 |    311 |      88.6 |                               7 |         55 |      16 |                     78 |     10 |           3.31 |             2.94 |                       6.25 |                    5.36 |             64 |                  19 |              21 |                   21 |          15 |                7 |             16 |                  13 |                                    2 |                                     |                        |                       |               1 |                |                  0.33 |            0 |                     0.3 |                              0.63 |                           0.54 |                  0.51 |             5 |                  3 |         8 |              5 |                   20 |                         8 |            22 |                  8 |          1.01 |                0.51 |                          7.89
  17 | t            | t          |                          100 |                          100 | 184029 |                 0 |                      0 |                -2 |                      2 |               0 |            3 |       2 |       2 |            3 | Martin              |    1 | f            |                                                                     | 2025-10-04 16:00:07.945438-04 |       78 | 184029.jpg |             2.1 | f       | Ødegaard                                     |                 1.4 | f       |              | a      |    1 |         3 |           17 |       144797 |               4823 |        419069 |                1664 |        0.1 |          2.2 | Ødegaard         |    161 | 2021-08-20     | 1998-12-17 | f                  | p184029   |     324 |            0 |       1 |            2 |              1 |         0 |               0 |                0 |            0 |         0 |     0 |     0 |  65 |      62.4 |      117.8 |     28 |      20.8 |                               7 |         16 |       5 |                     28 |      5 |           0.16 |             0.93 |                       1.09 |                    2.98 |            306 |                 140 |             124 |                   87 |         286 |              152 |            266 |                 132 |                                    4 |                                     |                        |                       |               3 |                |                  0.04 |            0 |                    0.26 |                               0.3 |                           0.83 |                  0.28 |            18 |                 12 |       291 |            135 |                  276 |                       126 |           153 |                 52 |          1.39 |                0.56 |                          7.78
  18 | t            | t          |                          100 |                          100 | 248857 |                 0 |                      0 |                -2 |                      2 |               0 |            3 |     2.2 |     2.2 |            3 | Noni                |  1.2 | f            |                                                                     | 2025-09-21 18:30:05.839272-04 |       68 | 248857.jpg |             1.9 | f       | Madueke                                      |                 0.6 | f       |              | a      |    1 |         3 |           15 |       157939 |               2826 |        230537 |                1478 |        0.2 |          2.2 | Madueke          |    241 | 2025-07-18     | 2002-03-10 | f                  | p248857   |     409 |            0 |       0 |            3 |              2 |         0 |               0 |                0 |            0 |         0 |     0 |     0 |  51 |      42.6 |      117.9 |    151 |      31.1 |                               4 |         11 |       5 |                     20 |      5 |           0.42 |             0.97 |                       1.39 |                     2.6 |            338 |                 155 |             123 |                   86 |          75 |               45 |            196 |                 100 |                                    3 |                                     |                        |                       |                 |                |                  0.09 |            0 |                    0.21 |                               0.3 |                           0.57 |                  0.44 |            44 |                 28 |       260 |            122 |                  297 |                       136 |           223 |                 75 |           1.1 |                0.66 |                           4.4
  19 | t            | t          |                          100 |                          100 | 444145 |                 0 |                      0 |                -2 |                      2 |               0 |            3 |       2 |       2 |            3 | Gabriel             |    1 | f            |                                                                     | 2025-10-28 17:00:08.076588-04 |       68 | 444145.jpg |               2 | f       | Martinelli Silva                             |                 0.9 | f       |              | a      |    1 |         3 |           20 |       101604 |               3351 |        183067 |                1968 |        0.1 |          2.9 | Martinelli       |     30 | 2019-07-15     | 2001-06-18 | f                  | p444145   |     330 |            1 |       0 |            2 |              1 |         0 |               0 |                0 |            0 |         0 |     0 |     1 |  63 |        58 |       45.7 |    110 |      21.5 |                               4 |         12 |       3 |                     19 |      4 |           0.95 |             0.11 |                       1.06 |                    2.76 |            313 |                 143 |             254 |                  153 |         117 |               70 |            260 |                 130 |                                      |                                     |                        |                       |                 |                |                  0.26 |            0 |                    0.03 |                              0.29 |                           0.75 |                  0.27 |            45 |                 29 |       290 |            134 |                  288 |                       133 |           194 |                 66 |          1.09 |                0.55 |                          5.18
  20 | t            | t          |                           75 |                           75 | 116216 |                 0 |                      0 |                -1 |                      1 |               1 |            3 |     4.7 |     4.7 |            0 | Leandro             |  5.2 | f            | Knock - 75% chance of playing                                       | 2025-11-27 05:00:06.58248-05  |       69 | 116216.jpg |             5.2 | f       | Trossard                                     |                 0.7 | f       |              | d      |    1 |         3 |           52 |       148582 |               1009 |        112261 |               20874 |        0.8 |          7.5 | Trossard         |     21 | 2023-01-20     | 1994-12-04 | f                  | p116216   |     719 |            3 |       3 |            4 |              5 |         0 |               0 |                0 |            0 |         0 |     0 |     6 | 176 |     205.2 |      182.8 |    203 |      59.1 |                               6 |         26 |       6 |                     38 |      8 |           2.14 |             1.23 |                       3.37 |                    3.67 |            121 |                  45 |              64 |                   48 |          49 |               27 |             53 |                  36 |                                      |                                     |                        |                       |               4 |                |                  0.27 |            0 |                    0.15 |                              0.42 |                           0.46 |                  0.63 |            38 |                 23 |        40 |             19 |                   17 |                         6 |           204 |                 69 |             1 |                 0.5 |                          4.76
  21 | t            | t          |                           75 |                          100 | 204480 |                 1 |                     -1 |                 6 |                     -6 |               2 |            3 |     3.6 |     4.8 |            3 | Declan              |  3.8 | t            | Calf injury - 75% chance of playing                                 | 2025-12-04 04:00:08.937295-05 |       71 | 204480.jpg |             5.6 | f       | Rice                                         |                22.3 | f       |              | d      |    1 |         3 |           78 |      2828768 |              58684 |       1113010 |              267562 |        0.5 |           11 | Rice             |    241 | 2023-07-15     | 1999-01-14 | f                  | p204480   |    1155 |            2 |       5 |            7 |              7 |         0 |               0 |                0 |            1 |         0 |     0 |    10 | 316 |     353.8 |      418.9 |    132 |      90.5 |                              42 |         60 |      23 |                    125 |     13 |           1.52 |             2.96 |                       4.48 |                    6.58 |             14 |                   4 |               6 |                    6 |          89 |               54 |             13 |                  11 |                                    1 |                                     |                      1 |                       |                 |                |                  0.12 |            0 |                    0.23 |                              0.35 |                           0.51 |                  0.55 |            33 |                 19 |        83 |             38 |                   10 |                         3 |            16 |                  3 |          1.01 |                0.55 |                          9.74
  22 | t            | t          |                              |                              | 195384 |                 1 |                     -1 |                 0 |                      0 |               1 |            3 |       9 |       9 |           13 | Mikel               |    8 | f            |                                                                     |                               |       60 | 195384.jpg |             3.8 | f       | Merino Zazón                                 |                 3.1 | f       |              | a      |    1 |         3 |           50 |       418992 |             206509 |        145600 |                5696 |        1.3 |          8.3 | Merino           |    200 | 2024-08-27     | 1996-06-22 | f                  | p195384   |     680 |            3 |       3 |            3 |              5 |         0 |               0 |                0 |            0 |         0 |     0 |     4 | 174 |     223.8 |      118.4 |    153 |      49.2 |                              15 |         34 |      18 |                     67 |      7 |           2.09 |             0.87 |                       2.96 |                    3.85 |            111 |                  41 |             121 |                   84 |          73 |               43 |             88 |                  53 |                                      |                                     |                        |                       |                 |                |                  0.28 |            0 |                    0.12 |                               0.4 |                           0.51 |                  0.66 |            89 |                 58 |         4 |              3 |                   92 |                        43 |           106 |                 36 |          0.93 |                 0.4 |                          8.87
  23 | t            | f          |                            0 |                            0 | 438098 |                 0 |                      0 |                -1 |                      1 |               0 |            3 |       0 |       0 |            0 | Fábio               |    0 | f            | has joined Hamburger on loan for the rest of the season.            | 2025-09-02 09:38:06.128321-04 |       54 | 438098.jpg |               0 | f       | Ferreira Vieira                              |                   0 | f       |              | u      |    1 |         3 |            0 |          933 |                  0 |          4318 |                  15 |          0 |            0 | Fábio Vieira     |    173 | 2022-06-21     | 2000-05-30 | f                  | p438098   |       0 |            0 |       0 |            0 |              0 |         0 |               0 |                0 |            0 |         0 |     0 |     0 |   0 |         0 |          0 |      0 |         0 |                               0 |          0 |       0 |                      0 |      0 |              0 |                0 |                          0 |                       0 |            736 |                 323 |             735 |                  323 |         731 |              322 |            736 |                 323 |                                      |                                     |                        |                       |                 |                |                     0 |            0 |                       0 |                                 0 |                              0 |                     0 |           168 |                106 |       721 |            315 |                  736 |                       323 |           656 |                272 |             0 |                   0 |                             0
